시장명,소재지도로명주소,소재지지번주소,사용가능상품권,공중화장실 보유여부,주차장 보유여부
코끼리시장,경기도 성남시 분당구 내정로 166번길 7-6,경기 성남시 수내동 56,온누리상품권,Y,Y
돌고래시장,경기도 성남시 분당구 내정로 174번길 42,경기 성남시 수내동 53,온누리상품권,Y,Y
분당종합시장,경기도 성남시 분당구 돌마로 366번길 42,"경기 성남시 수내동 83-1,2번지",온누리상품권,Y,Y
미래타운제2종합시장,경기도 성남시 분당구 불정로 376번지,경기 성남시 서현동 311,없음,Y,Y
미래타운제1종합시장,경기도 성남시 분당구 불정로 386번길 10,경기 성남시 서현동 307,없음,Y,Y
코코프라자시장,경기도 성남시 분당구 서현동 248-5,"경기 성남시 서현동 248-5,6",온누리상품권,Y,Y
현대프라자시장,경기도 성남시 분당구 수내동 79-2,경기 성남시 수내동 79-2,온누리상품권,Y,Y
동신종합시장,경기도 성남시 분당구 수내동 들마로 361,경기 성남시 수내동 63-2,온누리상품권,Y,Y
야탑에이스코아시장,"경기도 성남시 분당구 야탑로 64, 3층",경기 성남시 야탑동 502,없음,Y,Y
분당우성시장,경기도 성남시 분당구 중앙공로 40번길42,경기 성남시 서현동 94-3,없음,Y,Y
현대시장(분당),경기도 성남시 분당구 중앙공원로40번길 8,경기 성남시 서현동 94,온누리상품권,Y,Y
현대시장,경기도 성남시 수정구 수정복로 18,경기 성남시 태평3동 3683,온누리상품권,Y,Y
신흥시장,경기도 성남시 수정구 신흥3동 436-10,경기 성남시 신흥동 3436-10,온누리상품권,Y,Y
중앙시장,경기도 성남시 수정구 제일로 168,경기 성남시 태평동 3681,온누리상품권,Y,Y
단대전통시장,경기도 성남시 중원구 광명로 289,경기 성남시 금광동 10,온누리상품권,Y,Y
모란시장,경기도 성남시 중원구 둔촌대로 79 2층(성남동),경기 성남시 성남동 4214,온누리상품권,Y,Y
하대원시장,경기도 성남시 중원구 마지로 118,경기 성남시 하대원동 266-1~3,온누리상품권,Y,Y
금광시장,경기도 성남시 중원구 산성대로 426번길 5(금광동),경기 성남시 금광동 4622,없음,Y,N
은행시장,경기도 성남시 중원구 산성대로 526,경기 성남시 은행동 1553,온누리상품권,Y,Y
성남남한산성시장(구은행골목시장),경기도 성남시 중원구 은행2동 1565-1 2층,경기 성남시 은행동 1553,온누리상품권,N,N
상대원시장,경기도 성남시 중원구 희망로 344,경기 성남시 상대원동 2985-1,온누리상품권,Y,Y
권선종합시장,경기도 수원시 권선구 세권로 185,경기 수원시 권선동 1029-1,온누리상품권,Y,Y
구매탄시장,경기도 수원시 영통구 매여울로 53번길 28,경기 수원시 매탄동 176,온누리상품권,Y,Y
조원시장,경기도 수원시 장안구 송정로 187번길 35-1,경기 수원시 조원동 742-23,온누리상품권,Y,N
정자시장,경기도 수원시 장안구 수성로 261,경기 수원시 정자동 73-10,온누리상품권,Y,N
장안문거북시장,경기도 수원시 장안구 수성로 350번길 52,경기 수원시 영화동 273-5,온누리상품권,Y,N
연무시장,경기도 수원시 장안구 월드컵로 428번길 10(연무동),경기 수원시 연무동 232-17,온누리상품권,N,N
파장시장,경기도 수원시 장안구 파장로 82번길 9,경기 수원시 파장동 580-11,온누리상품권,N,Y
매산시장,경기도 수원시 팔달구 권선로 477 대우아파트 상가 2층,경기 수원시 매산로1가 46-7,온누리상품권,N,N
화서시장,경기도 수원시 팔달구 동말로 72,경기 수원시 화서동 97-1,온누리상품권,Y,Y
역전시장,경기도 수원시 팔달구 매산로 2-10(매산로 1가),경기 수원시 매산로1가 57-1,온누리상품권,Y,Y
구천동공구상가,경기도 수원시 팔달구 수원천로 100번길 5,경기 수원시 구천동 46-23,온누리상품권,N,N
못골종합시장,경기도 수원시 팔달구 수원천로 258번길 10-12,경기 수원시 지동 388-3,온누리상품권,Y,N
미나리광시장,경기도 수원시 팔달구 수원천로 266,경기 수원시 지동 400-1,온누리상품권,N,N
시민상가시장,경기도 수원시 팔달구 영동 10-18,경기 수원시 영동 10-18,온누리상품권,Y,N
남문패션1번가시장,경기도 수원시 팔달구 영동 43-5,경기 수원시 영동 43-5,온누리상품권,N,N
영동시장,경기도 수원시 팔달구 영동 8 9번지,경기 수원시 영동 8,온누리상품권,Y,Y
팔달문시장,경기도 수원시 팔달구 팔달로 2가 39-1,경기 수원시 팔달로2가 39,온누리상품권,Y,N
지동시장,경기도 수원시 팔달구 팔달분로 19,경기 수원시 지동 402,온누리상품권,Y,Y
남문로데오시장,경기도 수원시 팔달구 행궁로 88,경기 수원시 교동 3-11,온누리상품권,Y,N
시흥삼미시장,경기도 시흥시 삼미 시장 2길 35,경기 시흥시 신천동 738-4번지 일원,온누리상품권,Y,N
정왕시장,경기도 시흥시 정왕동 1203,경기 시흥시 정왕동 1202,없음,Y,Y
오이도종합어시장,경기도 시흥시 정왕동 2004-3,경기 시흥시 정왕동 2004-3번지 일원,없음,Y,Y
중앙상가,경기도 시흥시 정왕시장길 52,경기 시흥시 정왕동 1203번지,없음,Y,Y
안산시시민시장,경기도 안산시 단원구 화랑로 149,경기 안산시 초지동 604-4,온누리상품권,Y,Y
안성시장,경기도 안성시 서인동 13-43,경기 안성시 서인동 13-1,온누리상품권,Y,N
중앙시장,경기도 안성시 장기로 45번길 30,경기 안성시 서인동 81,온누리상품권,Y,N
죽산시장,경기도 안성시 죽산면 죽주로 257-5,경기 안성시 죽산면 438-1,온누리상품권,Y,N
호계종합시장,경기도 안양시 동안구 경수대로 556번길 38,경기 안양시 호계1동 988-1,온누리상품권,Y,Y
안양관양시장,경기도 안양시 동안구 관양동 1406-43,경기 안양시 관양1동 1406-43,온누리상품권,Y,N
호계시장,경기도 안양시 동안구 흥안대로 133번길 34 (호계동 청도A),경기 안양시 호계1동 997,온누리상품권,Y,Y
중앙시장,경기도 안양시 만안구 냉천로 196,경기 안양시 안양4동 676-44,온누리상품권,Y,N
박달시장,경기도 안양시 만안구 박달우회로 124번길 41,경기 안양시 박달1동 52-1,온누리상품권,Y,Y
안양중앙인정시장,경기도 안양시 만안구 범천로 196,경기 안양시 안양4동 676,온누리상품권,Y,N
석수시장,경기도 안양시 만안구 석수2동 288,경기 안양시 석수2동 387-288,온누리상품권,Y,Y
육동시장,경기도 안양시 만안구 안양동 434-3,경기 안양시 안양6동 434-3,온누리상품권,Y,N
안양남부시장,경기도 안양시 만안구 장내로 140번길 51,경기 안양시 안양1동 622-378,온누리상품권,Y,Y
"양수리전통시장(구,양서시장)",경기도 양평군 양서로 150번길,경기 양평군 양서면 양수리 1060,온누리상품권,Y,Y
양평물맑은시장,경기도 양평군 양평읍 양평시장길 15,경기 양평군 양평읍 양근리 409,온누리상품권,Y,Y
용문전통시장,경기도 양평군 용문면 다문시장 2길 308,경기 양평군 용문면 다문리 390,온누리상품권,Y,N
제일시장,경기도 여주시 여흥로 57번길 20,경기 여주시 여주읍 하리 180-11,없음,Y,Y
전곡재래시장,경기도 연천군 전곡읍 전곡로 172번길,경기 연천군 전곡읍 전곡리 479,온누리상품권,Y,Y
오산오색시장,경기도 오산시 오산로 272번지,경기 오산시 오산동 862,온누리상품권,Y,Y
죽전로데오상점가전통시장,경기도 용인시 수지구 죽전동1003,경기 용인시 수지구죽전동 1003-53번지~931번지 일원,온누리상품권,Y,Y
용인중앙시장,경기도 용인시 처인구 금령로 99번길 9,경기 용인시 김량장동 137-1,온누리상품권,Y,Y
부곡재래시장,경기도 의왕시 부곡 시장길 18,경기 의왕시 부곡시장길 18,온누리상품권,N,N
의정부청과야채시장,경기도 의정부시 시민로 157번길 8,경기 의정부시 의정부동 30-8번지외 14필지,온누리상품권,Y,Y
의정부시장,경기도 의정부시 의정부1동 148-5,경기 의정부시 의정부동 149-19외 20필지,온누리상품권,N,N
의정부제일시장,경기도 의정부시 의정부동 160번지,경기 의정부시 의정부동 160,온누리상품권,Y,Y
사기막골도자기시장,경기도 이천시 사음동 536번지,경기 이천시 사음동 536,온누리상품권,Y,Y
관고전통시장,경기도 이천시 중리동,경기 이천시 관고동 10-13,온누리상품권,Y,N
광탄시장,경기도 파주시 광탄면 헤음로 1120길,경기 파주시 광탄면 신산리 226번지 일원,온누리상품권,Y,Y
금촌전통시장,경기도 파주시 금정24길 18-6,경기 파주시 금촌동 320,온누리상품권,Y,Y
금촌명동로시장,경기도 파주시 명동길 57,경기 파주시 금촌 325-11,온누리상품권,N,N
문산자유시장,경기도 파주시 문산읍 문산리 10-23,경기 파주시 문산읍 문산리 10-31 일원,온누리상품권,Y,N
금촌문화로시장,경기도 파주시 문화로 89-1,경기 파주시 금촌 66-4,온누리상품권,N,N
적성전통시장,경기도 파주시 적성면 마지리 46-8,경기 파주시 적성면 마지리 46-8 일원,온누리상품권,Y,Y
통복시장,경기도 평택시 동복 시장로 25번길 10,경기 평택시 통복동 70-29,온누리상품권,Y,Y
서정시장,경기도 평택시 서정동 317,경기 평택시 서정동 317,온누리상품권,Y,Y
안중시장,경기도 평택시 안중읍 안현로서3길,경기 평택시 안중읍 안중리 267-1,온누리상품권,Y,Y
중앙시장(평택),경기도 평택시 중앙시장로 16-7,경기 평택시 신장동 317-6,온누리상품권,Y,Y
송북시장,경기도 평택시 탄현로 346번길 24 다목적회관 3층,경기 평택시 지산동 745-14,온누리상품권,Y,Y
운천전통시장,경기도 포천시 영북면 영북로 177번길,경기 포천시 영북면 운천리 513,온누리상품권,Y,Y
일동전통시장,경기도 포천시 일동면 화동로 1033번길 13-1,경기 포천시 일동면 기산리89,온누리상품권,Y,N
덕풍전통시장,경기도 하남시 신장로 154번길 57,경기 하남시 덕풍동 326-9,온누리상품권,Y,Y
신장전통시장,경기도 하남시 하남대로 801번길 65,경기 하남시 신장동 429-1,온누리상품권,Y,Y
남양시장,경기도 화성시 남양시장로 55번길,경기 화성시 남양동 1165,온누리상품권,Y,N
